'y-axis saved as y
'x,TrBiI4_pure_ground_exported.raw_1,Diff,Ycalc
4.00010014,1993,247.020873,1745.97913
4.02053546,1771,49.5142103,1721.48579
4.04097077,1791,93.4411186,1697.55888
4.06140609,1556,-118.186083,1674.18608
4.08184141,1634,-17.3553143,1651.35531
4.10227672,1520,-109.05473,1629.05473
4.12271204,1531,-76.272715,1607.27271
4.14314736,1534,-51.9978794,1585.99788
4.16358267,1652,86.7809447,1565.21906
4.18401799,1495,-49.9252917,1544.92529
4.20445331,1516,-9.10585075,1525.10585
4.22488862,1520,14.2497964,1505.7502
4.24532394,1440,-46.8480266,1486.84803
4.26575925,1451,-17.389197,1468.3892
4.28619457,1403,-47.3637899,1450.36379
4.30662989,1424,-8.76207361,1432.76207
4.3270652,1401,-14.574507,1415.57451
4.34750052,1361,-37.7917352,1398.79174
4.36793584,1387,4.59541351,1382.40459
4.38837115,1375,8.59593108,1366.40407
4.40880647,1341,-9.78136677,1350.78137
4.42924179,1281,-54.5278374,1335.52784
4.4496771,1314,-6.63500825,1320.63501
4.47011242,1258,-48.0945732,1306.09457
4.49054774,1251,-40.8983902,1291.89839
4.51098305,1198,-80.0384775,1278.03848
4.53141837,1266,1.49298866,1264.50701
4.55185369,1218,-33.2963229,1251.29632
4.572289,1306,67.6011049,1238.3989
4.59272432,1214,-11.8073605,1225.80736
4.61315964,1232,18.4855022,1213.5145
4.63359495,1245,43.48677,1201.51323
4.65403027,1127,-62.796621,1189.79662
4.67446558,1147,-31.3578735,1178.35787
4.6949009,1177,9.80967335,1167.19033
4.71533622,1152,-4.28745298,1156.28745
4.73577153,1124,-21.6428565,1145.64286
4.75620685,1160,24.7497299,1135.25027
4.77664217,1184,58.8964466,1125.10355
4.79707748,1161,45.8033099,1115.19669
4.8175128,1158,52.4762138,1105.52379
4.83794812,1117,20.9209326,1096.07907
4.85838343,1124,37.1431227,1086.85688
4.87881875,1070,-7.85167493,1077.85167
4.89925407,1087,17.941967,1069.05803
4.91968938,1087,26.5293645,1060.47064
4.9401247,1098,45.9157239,1052.08428
4.96056002,1063,19.1061442,1043.89386
4.98099533,1107,71.1056188,1035.89438
5.00143065,1074,45.9190373,1028.08096
5.02186597,1013,-7.4488123,1020.44881
5.04230128,1003,-9.99324208,1012.99324
